RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/2025,2/28/2025,3/31/2025,HousePriceAverage
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,766584.199,767735.5341,768956.5467,767758.76
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,993056.8520224285,987221.3355823484,978157.3809628839,986145.1895
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,269120.85294651875,268778.73556246323,267853.8979588494,268584.4955
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,302192.66824325954,303127.5690227341,303595.43785372615,302971.8917
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,253859.91431312155,253449.47269301806,252434.04458239148,253247.8105
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,223549.8311347159,224186.44574156622,224533.17780145738,224089.8182
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,420776.9439,419216.9813852522,416728.28517958085,418907.4035
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,431337.2721568597,431893.49616875703,431505.4994210533,431578.7559
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1029973.3952907213,1029122.8484234777,1026799.9060392991,1028632.05
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,312755.3565226754,312460.60160074534,311280.44849588553,312165.4689
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,530010.4341430119,526603.9958217471,522717.1110957306,526443.847
33839,11,San Jose,city,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1538952.1459795814,1533725.5328113518,1521021.4419905879,1531233.04
25290,12,Jacksonville,city,FL,FL,"Jacksonville, FL",Duval County,290570.9890532917,290213.9487,289190.1383121416,289991.692
