RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,RentPriceAverage
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,3602.2921647418166
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2886.3577492297277
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1592.3237149478527
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2236.765289962203
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1421.445223487481
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1779.5572032976888
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1674.9022358309815
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1757.601464719208
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,3064.7219041341086
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1730.495866541699
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,1655.8125541098852
33839,11,San Jose,city,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,3200.420882624503
25290,12,Jacksonville,city,FL,FL,"Jacksonville, FL",Duval County,1620.7991862674182
24043,13,Charlotte,city,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,1781.941854587021
32149,14,Indianapolis,city,IN,IN,"Indianapolis-Carmel-Anderson, IN",Marion County,1436.8671086545046
18172,15,Fort Worth,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1714.6792367368764
13121,16,Orlando,city,FL,FL,"Orlando-Kissimmee-Sanford, FL",Orange County,1963.4329205976735
20330,17,San Francisco,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3418.677378458628
7481,18,Tucson,city,AZ,AZ,"Tucson, AZ",Pima County,1522.4896594128932
10920,19,Columbus,city,OH,OH,"Columbus, OH",Franklin County,1455.7452974524133
12700,20,Miami,city,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,3053.7869417518937
12455,21,Louisville,city,KY,KY,"Louisville/Jefferson County, KY-IN",Jefferson County,1392.3981711902215
17933,22,El Paso,city,TX,TX,"El Paso, TX",El Paso County,1542.6318840579709
11093,23,Denver,city,CO,CO,"Denver-Aurora-Lakewood, CO",Denver County,1896.2124848323413
16037,24,Seattle,city,WA,WA,"Seattle-Tacoma-Bellevue, WA",King County,2244.7535865658215
13373,25,Portland,city,OR,OR,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,1740.6468266063046
6118,26,Nashville,city,TN,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1844.5621425617628
41568,27,Washington,city,DC,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,2532.545219982889
20288,28,Sacramento,city,CA,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County,2141.604103980851
44269,29,Boston,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Suffolk County,3367.527186
17762,30,Detroit,city,MI,MI,"Detroit-Warren-Dearborn, MI",Wayne County,1348.4692095783005
26529,31,Pittsburgh,city,PA,PA,"Pittsburgh, PA",Allegheny County,1498.661900389173
23429,32,Albuquerque,city,NM,NM,"Albuquerque, NM",Bernalillo County,1608.5152555645916
32811,33,Memphis,city,TN,TN,"Memphis, TN-MS-AR",Shelby County,1290.2946861627909
18203,34,Fresno,city,CA,CA,"Fresno, CA",Fresno County,1886.4276424893078
3523,35,Baltimore,city,MD,MD,"Baltimore-Columbia-Towson, MD",Baltimore City,1704.186458528471
40152,36,Omaha,city,NE,NE,"Omaha-Council Bluffs, NE-IA",Douglas County,1385.0509844258486
37211,37,Atlanta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,1883.4919397040346
5976,38,Milwaukee,city,WI,WI,"Milwaukee-Waukesha, WI",Milwaukee County,1389.9807866764531
33225,39,Oklahoma City,city,OK,OK,"Oklahoma City, OK",Oklahoma County,1297.4330937862949
54047,40,Raleigh,city,NC,NC,"Raleigh-Cary, NC",Wake County,1663.3692350173303
19331,41,Mesa,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1635.047928144404
4172,42,Colorado Springs,city,CO,CO,"Colorado Springs, CO",El Paso County,1784.3323608911414
17222,43,Buffalo,city,NY,NY,"Buffalo-Cheektowaga, NY",Erie County,1357.0399267399268
18795,44,Kansas City,city,MO,MO,"Kansas City, MO-KS",Jackson County,1443.721349
832063,45,Rochester,city,NY,NY,"Rochester, NY",Monroe County,1521.944139194139
4099,46,Cincinnati,city,OH,OH,"Cincinnati, OH-KY-IN",Hamilton County,1470.6650496707014
46298,47,Long Beach,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2332.925712217834
41515,48,Virginia Beach,city,VA,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,1895.2095538161113
3506,49,Bakersfield,city,CA,CA,"Bakersfield, CA",Kern County,1940.2322582840036
41176,50,Tampa,city,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,2187.309078
13072,51,Oakland,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,2495.080814530815
20859,52,Tulsa,city,OK,OK,"Tulsa, OK",Tulsa County,1302.6133986928105
5983,53,Minneapolis,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,1603.220897510776
16846,54,Aurora,city,CO,CO,"Denver-Aurora-Lakewood, CO",Arapahoe County,1799.1085268592599
7204,55,Spring,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1751.5271530724501
18615,56,Honolulu,city,HI,HI,"Urban Honolulu, HI",Honolulu County,2628.151125229966
25428,57,Knoxville,city,TN,TN,"Knoxville, TN",Knox County,1783.4341897510214
50763,58,Arlington,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1766.5725985105994
44055,59,Baton Rouge,city,LA,LA,"Baton Rouge, LA",East Baton Rouge Parish,1368.5986256263423
19594,60,New Orleans,city,LA,LA,"New Orleans-Metairie, LA",Orleans Parish,1691.801481293381
7929,61,Wichita,city,KS,KS,"Wichita, KS",Sedgwick County,1027.9836093857832
24115,62,Cleveland,city,OH,OH,"Cleveland-Elyria, OH",Cuyahoga County,1335.2777602191318
47401,63,Riverside,city,CA,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,2428.3881318348845
16764,64,Anaheim,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2731.543682
48215,65,Vancouver,city,WA,WA,"Portland-Vancouver-Hillsboro, OR-WA",Clark County,1814.1191387869912
7266,67,Stockton,city,CA,CA,"Stockton, CA",San Joaquin County,2075.143630952381
12562,68,Marietta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,1874.05855
4174,69,Columbia,city,SC,SC,"Columbia, SC",Richland County,1505.4077509924907
11722,70,Greensboro,city,NC,NC,"Greensboro-High Point, NC",Guilford County,1499.281118308311
18170,71,Fort Wayne,city,IN,IN,"Fort Wayne, IN",Allen County,1183.9457523957524
25574,72,Lexington,city,KY,KY,"Lexington-Fayette, KY",Fayette County,1436.3433708560249
19533,73,Naples,city,FL,FL,"Naples-Marco Island, FL",Collier County,2851.248559681276
